symbol,Open,High,Low,Close,Volume,Currency,Date
A,254,254,254,254,254,254,254
AA,255,255,255,255,255,255,255
AACAY,253,253,253,253,253,253,253
AACG,253,253,253,253,253,253,253
AAGIY,252,252,252,252,252,252,252
AAL,253,253,253,253,253,253,253
AAMC,238,238,238,238,238,238,238
AAME,240,240,240,240,240,240,240
AAN,256,256,256,256,256,256,256
AAOI,253,253,253,253,253,253,253
AAON,253,253,253,253,253,253,253
AAP,256,256,256,256,256,256,256
AAPL,253,253,253,253,253,253,253
AAT,254,254,254,254,254,254,254
AAU,253,253,253,253,253,253,253
AAWW,253,253,253,253,253,253,253
AAXN,253,253,253,253,253,253,253
ABB,254,254,254,254,254,254,254
ABBV,256,256,256,256,256,256,256
ABC,254,254,254,254,254,254,254
ABCB,253,253,253,253,253,253,253
ABCZY,209,209,209,209,209,209,209
ABEV,256,256,256,256,256,256,256
ABG,254,254,254,254,254,254,254
ABIL,228,228,228,228,228,228,228
ABIO,253,253,253,253,253,253,253
ABM,254,254,254,254,254,254,254
ABMD,253,253,253,253,253,253,253
ABR,254,254,254,254,254,254,254
ABT,254,254,254,254,254,254,254
ABTX,253,253,253,253,253,253,253
ABUS,253,253,253,253,253,253,253
ACA,257,257,257,257,257,257,257
ACAD,253,253,253,253,253,253,253
ACAM,222,222,222,222,222,222,222
ACBI,253,253,253,253,253,253,253
ACC,256,256,256,256,256,256,256
ACCO,254,254,254,254,254,254,254
ACCYY,252,252,252,252,252,252,252
ACER,253,253,253,253,253,253,253
ACFN,249,249,249,249,249,249,249
ACGBY,252,252,252,252,252,252,252
ACGL,253,253,253,253,253,253,253
ACHC,253,253,253,253,253,253,253
ACHN,17,17,17,17,17,17,17
ACHV,253,253,253,253,253,253,253
ACIA,253,253,253,253,253,253,253
ACIU,253,253,253,253,253,253,253
ACIW,253,253,253,253,253,253,253
ACKAY,151,151,151,151,151,151,151
ACLS,253,253,253,253,253,253,253
ACM,256,256,256,256,256,256,256
ACMR,253,253,253,253,253,253,253
ACN,254,254,254,254,254,254,254
ACNB,253,253,253,253,253,253,253
ACOR,253,253,253,253,253,253,253
ACRS,253,253,253,253,253,253,253
ACRX,253,253,253,253,253,253,253
ACSAY,253,253,253,253,253,253,253
ACTG,253,253,253,253,253,253,253
ACTT,250,250,250,250,250,250,250
ACU,251,251,251,251,251,251,251
ACUR,247,247,247,247,247,247,247
ACY,246,246,246,246,246,246,246
ADAP,253,253,253,253,253,253,253
ADBE,253,253,253,253,253,253,253
ADC,254,254,254,254,254,254,254
ADDYY,252,252,252,252,252,252,252
ADES,253,253,253,253,253,253,253
ADI,253,253,253,253,253,253,253
ADM,254,254,254,254,254,254,254
ADMS,253,253,253,253,253,253,253
ADNT,257,257,257,257,257,257,257
ADP,253,253,253,253,253,253,253
ADRNY,252,252,252,252,252,252,252
ADRO,253,253,253,253,253,253,253
ADS,256,256,256,256,256,256,256
ADSK,253,253,253,253,253,253,253
ADTN,253,253,253,253,253,253,253
ADUS,253,253,253,253,253,253,253
ADVM,253,253,253,253,253,253,253
AE,253,253,253,253,253,253,253
AEE,254,254,254,254,254,254,254
AEGN,253,253,253,253,253,253,253
AEHR,253,253,253,253,253,253,253
AEIS,253,253,253,253,253,253,253
AEL,254,254,254,254,254,254,254
AEM,254,254,254,254,254,254,254
AEO,256,256,256,256,256,256,256
AEP,253,253,253,253,253,253,253
AER,254,254,254,254,254,254,254
AERI,253,253,253,253,253,253,253
AES,254,254,254,254,254,254,254
AESE,253,253,253,253,253,253,253
AEXAY,253,253,253,253,253,253,253
AEY,253,253,253,253,253,253,253
AEYE,253,253,253,253,253,253,253
AEZS,253,253,253,253,253,253,253
AFG,256,256,256,256,256,256,256
AFH,252,252,252,252,252,252,252
AFIN,253,253,253,253,253,253,253
AFL,254,254,254,254,254,254,254
AFLYY,250,250,250,250,250,250,250
AFSIM,247,247,247,247,247,247,247
AG,256,256,256,256,256,256,256
AGCO,256,256,256,256,256,256,256
AGEN,253,253,253,253,253,253,253
AGESY,249,249,249,249,249,249,249
AGFS,253,253,253,253,253,253,253
AGHC,175,175,175,175,175,175,175
AGI,256,256,256,256,256,256,256
AGIO,253,253,253,253,253,253,253
AGLE,253,253,253,253,253,253,253
AGLXY,248,248,248,248,248,248,248
AGM,254,254,254,254,254,254,254
AGMH,253,253,253,253,253,253,253
AGN,89,89,89,89,89,89,89
AGNC,253,253,253,253,253,253,253
AGO,256,256,256,256,256,256,256
AGRO,254,254,254,254,254,254,254
AGRPY,194,194,194,194,194,194,194
AGYS,253,253,253,253,253,253,253
AHC,254,254,254,254,254,254,254
AHCHY,252,252,252,252,252,252,252
AHCO,253,253,253,253,253,253,253
AHEXY,253,253,253,253,253,253,253
AHH,256,256,256,256,256,256,256
AHKSY,252,252,252,252,252,252,252
AHPI,253,253,253,253,253,253,253
AHT,254,254,254,254,254,254,254
AI,254,254,254,254,254,254,254
AIG,254,254,254,254,254,254,254
AIHS,253,253,253,253,253,253,253
AIM,253,253,253,253,253,253,253
AIMC,253,253,253,253,253,253,253
AIMT,197,197,197,197,197,197,197
AIN,254,254,254,254,254,254,254
AINC,251,251,251,251,251,251,251
AIQUY,252,252,252,252,252,252,252
AIR,254,254,254,254,254,254,254
AIRG,253,253,253,253,253,253,253
AIRI,253,253,253,253,253,253,253
AIRT,225,225,225,225,225,225,225
AIRYY,169,169,169,169,169,169,169
AIT,254,254,254,254,254,254,254
AIV,253,253,253,253,253,253,253
AIZ,254,254,254,254,254,254,254
AJG,256,256,256,256,256,256,256
AJINY,142,142,142,142,142,142,142
AJRD,254,254,254,254,254,254,254
AKAM,253,253,253,253,253,253,253
AKBA,253,253,253,253,253,253,253
AKBTY,234,234,234,234,234,234,234
AKCA,196,196,196,196,196,196,196
AKG,253,253,253,253,253,253,253
AKOa,219,219,219,219,219,219,219
AKR,254,254,254,254,254,254,254
AKRX,189,189,189,189,189,189,189
AKS,49,49,49,49,49,49,49
AKTS,253,253,253,253,253,253,253
AKZOY,253,253,253,253,253,253,253
AL,254,254,254,254,254,254,254
ALAC,167,167,167,167,167,167,167
ALB,256,256,256,256,256,256,256
ALBKY,252,252,252,252,252,252,252
ALBO,253,253,253,253,253,253,253
ALCO,253,253,253,253,253,253,253
ALE,254,254,254,254,254,254,254
ALEX,254,254,254,254,254,254,254
ALFVY,252,252,252,252,252,252,252
ALG,254,254,254,254,254,254,254
ALGGY,69,69,69,69,69,69,69
ALGN,253,253,253,253,253,253,253
ALGR,44,44,44,44,44,44,44
ALGT,253,253,253,253,253,253,253
ALIM,253,253,253,253,253,253,253
ALJJ,251,251,251,251,251,251,251
ALK,256,256,256,256,256,256,256
ALKS,252,252,252,252,252,252,252
ALL,254,254,254,254,254,254,254
ALLE,256,256,256,256,256,256,256
ALLK,253,253,253,253,253,253,253
ALLT,253,253,253,253,253,253,253
ALLY,256,256,256,256,256,256,256
ALNPY,197,197,197,197,197,197,197
ALNY,253,253,253,253,253,253,253
ALO,124,124,124,124,124,124,124
ALOT,253,253,253,253,253,253,253
ALPMY,252,252,252,252,252,252,252
ALPN,253,253,253,253,253,253,253
ALRM,253,253,253,253,253,253,253
ALRS,253,253,253,253,253,253,253
ALSK,253,253,253,253,253,253,253
ALSMY,252,252,252,252,252,252,252
ALSN,256,256,256,256,256,256,256
ALTM,253,253,253,253,253,253,253
ALTR,253,253,253,253,253,253,253
ALV,254,254,254,254,254,254,254
ALX,254,254,254,254,254,254,254
ALXN,253,253,253,253,253,253,253
ALYA,253,253,253,253,253,253,253
AM,254,254,254,254,254,254,254
